GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US01000,01000,"Statewide, Alabama; Alabama",00,Total for all sectors,2010,191,26958,177404,799959
0500000US01001,01001,"Autauga County, Alabama",00,Total for all sectors,2010,871,10167,63783,273052
0500000US01003,01003,"Baldwin County, Alabama",00,Total for all sectors,2010,4665,51171,338648,1481054
0500000US01005,01005,"Barbour County, Alabama",00,Total for all sectors,2010,516,7604,52256,221596
0500000US01007,01007,"Bibb County, Alabama",00,Total for all sectors,2010,293,2926,21146,94045
0500000US01009,01009,"Blount County, Alabama",00,Total for all sectors,2010,701,6433,40260,172331
0500000US01011,01011,"Bullock County, Alabama",00,Total for all sectors,2010,120,2048,11471,49014
0500000US01013,01013,"Butler County, Alabama",00,Total for all sectors,2010,423,5534,33103,145308
0500000US01015,01015,"Calhoun County, Alabama",00,Total for all sectors,2010,2427,36951,281856,1170401
0500000US01017,01017,"Chambers County, Alabama",00,Total for all sectors,2010,573,6138,41082,178228
0500000US01019,01019,"Cherokee County, Alabama",00,Total for all sectors,2010,358,3466,22576,100001
0500000US01021,01021,"Chilton County, Alabama",00,Total for all sectors,2010,735,6756,42390,182491
0500000US01023,01023,"Choctaw County, Alabama",00,Total for all sectors,2010,269,2804,30249,133720
0500000US01025,01025,"Clarke County, Alabama",00,Total for all sectors,2010,624,6536,48798,207881
0500000US01027,01027,"Clay County, Alabama",00,Total for all sectors,2010,194,3137,19534,82885
0500000US01029,01029,"Cleburne County, Alabama",00,Total for all sectors,2010,171,1934,14458,65116
0500000US01031,01031,"Coffee County, Alabama",00,Total for all sectors,2010,1022,12607,77558,332822
0500000US01033,01033,"Colbert County, Alabama",00,Total for all sectors,2010,1284,18700,141870,612007
0500000US01035,01035,"Conecuh County, Alabama",00,Total for all sectors,2010,214,2627,21630,77120
0500000US01037,01037,"Coosa County, Alabama",00,Total for all sectors,2010,94,1009,7146,28881
0500000US01039,01039,"Covington County, Alabama",00,Total for all sectors,2010,864,10480,69649,307650
0500000US01041,01041,"Crenshaw County, Alabama",00,Total for all sectors,2010,237,3101,20389,97920
0500000US01043,01043,"Cullman County, Alabama",00,Total for all sectors,2010,1735,21578,152720,657746
0500000US01045,01045,"Dale County, Alabama",00,Total for all sectors,2010,839,13158,132250,572207
0500000US01047,01047,"Dallas County, Alabama",00,Total for all sectors,2010,780,11399,79070,326650
0500000US01049,01049,"DeKalb County, Alabama",00,Total for all sectors,2010,1119,17141,117859,503330
0500000US01051,01051,"Elmore County, Alabama",00,Total for all sectors,2010,1111,13768,93084,395600
0500000US01053,01053,"Escambia County, Alabama",00,Total for all sectors,2010,768,9371,68201,291512
0500000US01055,01055,"Etowah County, Alabama",00,Total for all sectors,2010,2032,29476,205319,887769
0500000US01057,01057,"Fayette County, Alabama",00,Total for all sectors,2010,338,3664,26446,112946
0500000US01059,01059,"Franklin County, Alabama",00,Total for all sectors,2010,540,9621,63185,271597
0500000US01061,01061,"Geneva County, Alabama",00,Total for all sectors,2010,422,3961,25760,108946
0500000US01063,01063,"Greene County, Alabama",00,Total for all sectors,2010,107,1376,9412,38653
0500000US01065,01065,"Hale County, Alabama",00,Total for all sectors,2010,192,2130,14291,61424
0500000US01067,01067,"Henry County, Alabama",00,Total for all sectors,2010,299,2761,18857,82937
0500000US01069,01069,"Houston County, Alabama",00,Total for all sectors,2010,2765,42943,340872,1463055
0500000US01071,01071,"Jackson County, Alabama",00,Total for all sectors,2010,854,11681,80076,345659
0500000US01073,01073,"Jefferson County, Alabama",00,Total for all sectors,2010,16614,315652,3345032,13666255
0500000US01075,01075,"Lamar County, Alabama",00,Total for all sectors,2010,240,2731,18524,80141
0500000US01077,01077,"Lauderdale County, Alabama",00,Total for all sectors,2010,1993,25485,151903,656783
0500000US01079,01079,"Lawrence County, Alabama",00,Total for all sectors,2010,414,4395,40676,170732
0500000US01081,01081,"Lee County, Alabama",00,Total for all sectors,2010,2352,34910,226683,981287
0500000US01083,01083,"Limestone County, Alabama",00,Total for all sectors,2010,1262,13849,97711,439010
0500000US01085,01085,"Lowndes County, Alabama",00,Total for all sectors,2010,125,2112,24877,105378
0500000US01087,01087,"Macon County, Alabama",00,Total for all sectors,2010,205,6209,44838,187695
0500000US01089,01089,"Madison County, Alabama",00,Total for all sectors,2010,8093,151530,1650283,6977648
0500000US01091,01091,"Marengo County, Alabama",00,Total for all sectors,2010,482,5895,44327,184252
0500000US01093,01093,"Marion County, Alabama",00,Total for all sectors,2010,523,6587,45100,195672
0500000US01095,01095,"Marshall County, Alabama",00,Total for all sectors,2010,1870,31731,209091,914962
0500000US01097,01097,"Mobile County, Alabama",00,Total for all sectors,2010,8826,148500,1243389,5523209
0500000US01099,01099,"Monroe County, Alabama",00,Total for all sectors,2010,402,5169,42914,200771
0500000US01101,01101,"Montgomery County, Alabama",00,Total for all sectors,2010,5634,100943,885345,3724929
0500000US01103,01103,"Morgan County, Alabama",00,Total for all sectors,2010,2694,41570,345331,1511049
0500000US01105,01105,"Perry County, Alabama",00,Total for all sectors,2010,129,1568,10093,41585
0500000US01107,01107,"Pickens County, Alabama",00,Total for all sectors,2010,289,2804,17482,76137
0500000US01109,01109,"Pike County, Alabama",00,Total for all sectors,2010,652,10383,74117,326317
0500000US01111,01111,"Randolph County, Alabama",00,Total for all sectors,2010,342,3507,21600,91822
0500000US01113,01113,"Russell County, Alabama",00,Total for all sectors,2010,838,10619,77243,319624
0500000US01115,01115,"St. Clair County, Alabama",00,Total for all sectors,2010,1211,12868,86585,376919
0500000US01117,01117,"Shelby County, Alabama",00,Total for all sectors,2010,4817,74152,760491,3115245
0500000US01119,01119,"Sumter County, Alabama",00,Total for all sectors,2010,215,2709,17827,77013
0500000US01121,01121,"Talladega County, Alabama",00,Total for all sectors,2010,1287,21329,184320,810205
0500000US01123,01123,"Tallapoosa County, Alabama",00,Total for all sectors,2010,760,10674,73078,316955
0500000US01125,01125,"Tuscaloosa County, Alabama",00,Total for all sectors,2010,4013,69787,599167,2533797
0500000US01127,01127,"Walker County, Alabama",00,Total for all sectors,2010,1315,15438,109874,467261
0500000US01129,01129,"Washington County, Alabama",00,Total for all sectors,2010,225,3536,49582,198096
0500000US01131,01131,"Wilcox County, Alabama",00,Total for all sectors,2010,208,1921,17241,69951
0500000US01133,01133,"Winston County, Alabama",00,Total for all sectors,2010,474,6433,41442,173803
0500000US02000,02000,"Statewide, Alaska; Alaska",00,Total for all sectors,2010,51,2464,38980,152483
0500000US02013,02013,"Aleutians East Borough, Alaska",00,Total for all sectors,2010,59,g,D,D
0500000US02016,02016,"Aleutians West Census Area, Alaska",00,Total for all sectors,2010,121,4786,35261,122391
0500000US02020,02020,"Anchorage Municipality, Alaska",00,Total for all sectors,2010,8470,145065,1862009,8063829
0500000US02050,02050,"Bethel Census Area, Alaska",00,Total for all sectors,2010,207,3398,30628,138540
0500000US02060,02060,"Bristol Bay Borough, Alaska",00,Total for all sectors,2010,65,319,3888,36157
0500000US02068,02068,"Denali Borough, Alaska",00,Total for all sectors,2010,97,461,6552,48455
0500000US02070,02070,"Dillingham Census Area, Alaska",00,Total for all sectors,2010,100,1250,12343,60789
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",00,Total for all sectors,2010,2443,27160,254714,1197001
0500000US02100,02100,"Haines Borough, Alaska",00,Total for all sectors,2010,129,641,4700,24593
0500000US02110,02110,"Juneau City and Borough, Alaska",00,Total for all sectors,2010,1115,10723,97834,459740
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",00,Total for all sectors,2010,1967,13643,120455,587041
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",00,Total for all sectors,2010,577,4751,43850,217362
0500000US02150,02150,"Kodiak Island Borough, Alaska",00,Total for all sectors,2010,470,4645,35511,166971
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",00,Total for all sectors,2010,51,159,1237,13506
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",00,Total for all sectors,2010,1955,15055,138468,643499
